File,Line,Vuln_Type,Inferred_Entrypoint,Spec_ID
HTMLtree.c,245,CWE-120,htmlSetMetaEncoding,003_HTMLtree.c_245_local_cpp_cwe-120-overflow
HTMLtree.c,247,CWE-120,htmlSetMetaEncoding,004_HTMLtree.c_247_local_cpp_cwe-120-overflow
buf.c,1043,CWE-120,xmlBufferAddHead,066_buf.c_1043_local_cpp_cwe-120-overflow
buf.c,472,CWE-120,xmlBufAdd,076_buf.c_472_local_cpp_cwe-120-overflow
xmlregexp.c,5895,CWE-120,xmlAutomataNewCountTrans2,102_xmlregexp.c_5895_local_cpp_cwe-120-overflow
xmlregexp.c,5897,CWE-120,xmlAutomataNewCountTrans2,103_xmlregexp.c_5897_local_cpp_cwe-120-overflow
xmlregexp.c,4238,CWE-120,xmlRegExecPushString2,128_xmlregexp.c_4238_local_cpp_cwe-120-overflow
xmlregexp.c,3647,CWE-120,xmlRegNewExecCtxt,134_xmlregexp.c_3647_local_cpp_cwe-120-overflow
xpath.c,2681,CWE-120,xmlXPathNodeSetCreate,145_xpath.c_2681_local_cpp_cwe-120-overflow
buf.c,1056,CWE-787,xmlBufferAddHead,180_buf.c_1056_local_cpp_cwe-787-oob-write
buf.c,472,CWE-787,xmlBufAdd,183_buf.c_472_local_cpp_cwe-787-oob-write
xmlsave.c,140,CWE-787,xmlSaveSetIndentString,187_xmlsave.c_140_local_cpp_cwe-787-oob-write
dict.c,340,CWE-Other,xmlDictFree,197_dict.c_340_shafi_cpp_pattern_free-then-deref_intra
dict.c,339,CWE-Other,xmlDictFree,199_dict.c_339_shafi_cpp_pattern_free-then-use_intra
tree.c,959,CWE-Other,xmlFreeDoc,203_tree.c_959_shafi_cpp_pattern_free-then-use_intra
tree.c,964,CWE-Other,xmlFreeDoc,206_tree.c_964_shafi_cpp_pattern_free-then-use_intra
tree.c,967,CWE-Other,xmlFreeDoc,209_tree.c_967_shafi_cpp_pattern_free-then-use_intra
