Spec_ID,File,Line,Inferred_Entrypoint,Status,CWE,Time,Tokens
003_HTMLtree.c_245_local_cpp_cwe-120-overflow,HTMLtree.c,245,htmlSetMetaEncoding,CONFIRMED,120,484.9s,0
004_HTMLtree.c_247_local_cpp_cwe-120-overflow,HTMLtree.c,247,htmlSetMetaEncoding,CONFIRMED,120,277.8s,0
066_buf.c_1043_local_cpp_cwe-120-overflow,buf.c,1043,xmlBufferAddHead,CONFIRMED,120,1629.8s,0
076_buf.c_472_local_cpp_cwe-120-overflow,buf.c,472,xmlBufAdd,CONFIRMED,120,227.4s,0
102_xmlregexp.c_5895_local_cpp_cwe-120-overflow,xmlregexp.c,5895,xmlAutomataNewCountTrans2,CONFIRMED,120,876.0s,0
103_xmlregexp.c_5897_local_cpp_cwe-120-overflow,xmlregexp.c,5897,xmlAutomataNewCountTrans2,CONFIRMED,120,1567.0s,0
128_xmlregexp.c_4238_local_cpp_cwe-120-overflow,xmlregexp.c,4238,xmlRegExecPushString2,CONFIRMED,120,751.9s,0
134_xmlregexp.c_3647_local_cpp_cwe-120-overflow,xmlregexp.c,3647,xmlRegNewExecCtxt,CONFIRMED,120,285.9s,0
145_xpath.c_2681_local_cpp_cwe-120-overflow,xpath.c,2681,xmlXPathNodeSetCreate,CONFIRMED,120,53721.7s,0
180_buf.c_1056_local_cpp_cwe-787-oob-write,buf.c,1056,xmlBufferAddHead,CONFIRMED,787,226.5s,0
183_buf.c_472_local_cpp_cwe-787-oob-write,buf.c,472,xmlBufAdd,CONFIRMED,787,5215.7s,0
187_xmlsave.c_140_local_cpp_cwe-787-oob-write,xmlsave.c,140,xmlSaveSetIndentString,CONFIRMED,787,652.0s,0
197_dict.c_340_shafi_cpp_pattern_free-then-deref_intra,dict.c,340,xmlDictFree,CONFIRMED,Other,430.2s,0
199_dict.c_339_shafi_cpp_pattern_free-then-use_intra,dict.c,339,xmlDictFree,CONFIRMED,Other,1040.9s,0
203_tree.c_959_shafi_cpp_pattern_free-then-use_intra,tree.c,959,xmlFreeDoc,CONFIRMED,Other,364.9s,0
206_tree.c_964_shafi_cpp_pattern_free-then-use_intra,tree.c,964,xmlFreeDoc,CONFIRMED,Other,292.8s,0
209_tree.c_967_shafi_cpp_pattern_free-then-use_intra,tree.c,967,xmlFreeDoc,CONFIRMED,Other,1157.9s,0
