Spec_ID,Status,CWE,Time,Tokens
000_bind.c_2680_cpp_offset-use-before-range-check,SYSTEM_ERROR,Other,0.0s,0
001_vi_mode.c_1884_cpp_offset-use-before-range-check,SYSTEM_ERROR,Other,0.0s,0
002_make-temp-file.c_144_cpp_unbounded-write,HARNESS_ERROR,Other,2.1s,0
003_make-relative-prefix.c_381_cpp_unbounded-write,HARNESS_ERROR,Other,23.8s,0
004_histsearch.c_238_cpp_unbounded-write,HARNESS_ERROR,Other,23.7s,0
005_histexpand.c_1425_cpp_unbounded-write,HARNESS_ERROR,Other,23.5s,0
006_histexpand.c_1303_cpp_unbounded-write,SYSTEM_ERROR,Other,0.0s,0
007_history.c_428_cpp_unbounded-write,HARNESS_ERROR,Other,21.4s,0
008_history.c_391_cpp_unbounded-write,HARNESS_ERROR,Other,24.9s,0
009_history.c_339_cpp_unbounded-write,HARNESS_ERROR,Other,21.7s,0
010_history.c_226_cpp_unbounded-write,SYSTEM_ERROR,Other,0.0s,0
011_histexpand.c_583_cpp_unbounded-write,HARNESS_ERROR,Other,24.0s,0
012_complete.c_2448_cpp_unbounded-write,SYSTEM_ERROR,Other,0.0s,0
013_parse-colors.c_324_cpp_unbounded-write,SYSTEM_ERROR,Other,0.0s,0
015_tilde.c_346_cpp_unbounded-write,HARNESS_ERROR,Other,26.1s,0
016_complete.c_1995_cpp_unbounded-write,HARNESS_ERROR,Other,23.2s,0
017_histfile.c_731_cpp_unbounded-write,HARNESS_ERROR,Other,30.7s,0
019_readline.c_1000_cpp_unbounded-write,SYSTEM_ERROR,Other,0.0s,0
020_macro.c_302_cpp_unbounded-write,HARNESS_ERROR,Other,25.0s,0
021_tilde.c_327_cpp_unbounded-write,HARNESS_ERROR,Other,23.3s,0
022_macro.c_257_cpp_unbounded-write,SYSTEM_ERROR,Other,0.0s,0
023_tilde.c_251_cpp_unbounded-write,HARNESS_ERROR,Other,25.9s,0
024_readline.c_470_cpp_unbounded-write,HARNESS_ERROR,Other,7.4s,0
