Entrypoint,SA_Vuln,Count,Review_Spec_IDs,Notes
__gen_tempname,tempname.c:208,1,146_tempname.c_208_local.oob.memfunc.length-misuse.maxcover.v5,
__host_to_ieee_32,host-ieee32.c:45,2,066_host-ieee32.c_45_local.oob.memfunc.length-misuse.maxcover.v5; 081_host-ieee32.c_45_local_cpp_cwe-120-overflow,
__host_to_ieee_64,host-ieee64.c:45,2,064_host-ieee64.c_45_local.oob.memfunc.length-misuse.maxcover.v5; 077_host-ieee64.c_45_local_cpp_cwe-120-overflow,
__ieee_to_host_32,host-ieee32.c:51,2,065_host-ieee32.c_51_local.oob.memfunc.length-misuse.maxcover.v5; 080_host-ieee32.c_51_local_cpp_cwe-120-overflow,
__ieee_to_host_64,host-ieee64.c:51,2,063_host-ieee64.c_51_local.oob.memfunc.length-misuse.maxcover.v5; 075_host-ieee64.c_51_local_cpp_cwe-120-overflow,
__libc_scratch_buffer_grow_preserve,preserve.c:40,1,065_scratch_buffer_grow_preserve.c_40_local_cpp_cwe-120-overflow,
__libc_scratch_buffer_grow_preserve,scratch_buffer_grow_preserve.c:40,1,048_scratch_buffer_grow_preserve.c_40_local.oob.memfunc.length-misuse.maxcover.v5,
_hs_append_history_line,history.c:428,1,005_history.c_428_cpp_unbounded-write,
_hs_history_patsearch,histsearch.c:238,1,004_histsearch.c_238_cpp_unbounded-write,
_rl_copy_to_kill_ring,kill.c:138,1,022_kill.c_138_cpp_unbounded-write,
_rl_dispatch_subseq,readline.c:1000,1,032_readline.c_1000_cpp_unbounded-write,
_rl_parse_colors,parse-colors.c:324,1,015_parse-colors.c_324_cpp_unbounded-write,
_rl_revert_all_lines,misc.c:445,1,031_misc.c_445_cpp_unbounded-write,
ada_demangle,cplus-dem.c:431,1,148_cplus-dem.c_431_local_cpp_cwe-120-overflow,
ada_demangle,cplus-dem.c:239,1,139_cplus-dem.c_239_local.oob.memfunc.length-misuse.maxcover.v5,
ada_demangle,cplus-dem.c:283,1,147_cplus-dem.c_283_local.oob.memfunc.length-misuse.maxcover.v5,
ada_demangle,cplus-dem.c:288,2,146_cplus-dem.c_288_local_cpp_cwe-120-overflow; 148_cplus-dem.c_288_local.oob.memfunc.length-misuse.maxcover.v5,
add_history_time,history.c:339,1,007_history.c_339_cpp_unbounded-write,
alloc_history_entry,history.c:226,1,008_history.c_226_cpp_unbounded-write,
buffer_and_nest,macro.c:257,1,014_macro.c_257_cpp_unbounded-write,
chdir_long,chdir-long.c:142,1,053_chdir-long.c_142_local.oob.memfunc.length-misuse.maxcover.v5,
choose_tmpdir,make-temp-file.c:144,1,002_make-temp-file.c_144_cpp_unbounded-write,
concat_copy,concat.c:79,1,071_concat.c_79_local_cpp_cwe-120-overflow,
dcnpgettext_expr,line 295,1,042_gettext.h_248_cpp_return-stack-allocated-memory,
dcnpgettext_expr,line 288,1,061_gettext.h_288_local_cpp_cwe-120-overflow,
dcnpgettext_expr,line 286 (memcpy call),1,060_gettext.h_286_local_cpp_cwe-120-overflow,
dcnpgettext_expr,gettext.h:286,1,049_gettext.h_286_local.oob.memfunc.length-misuse.maxcover.v5,
dcnpgettext_expr,gettext.h:288,1,050_gettext.h_288_local.oob.memfunc.length-misuse.maxcover.v5,
dcpgettext_expr,gettext.h:238,1,051_gettext.h_238_local.oob.memfunc.length-misuse.maxcover.v5,
dcpgettext_expr,line 240 (the memcpy call),1,063_gettext.h_240_local_cpp_cwe-120-overflow,
dcpgettext_expr,gettext.h:240,1,052_gettext.h_240_local.oob.memfunc.length-misuse.maxcover.v5,
dcpgettext_expr,line 238,1,062_gettext.h_238_local_cpp_cwe-120-overflow,
decNumberDivide,decNumber.c:4674,2,002_decNumber.c_4674_cpp_invalid-pointer-deref; 040_decNumber.c_4674_cpp_invalid-pointer-deref,
decNumberDivide,decNumber.c:4619,2,003_decNumber.c_4619_cpp_invalid-pointer-deref; 041_decNumber.c_4619_cpp_invalid-pointer-deref,
decimal128FromNumber,decimal128.c:172,1,133_decimal128.c_172_local_cpp_cwe-120-overflow,
decimal128FromNumber,decimal128.c:173,1,134_decimal128.c_173_local_cpp_cwe-120-overflow,
decimal128FromNumber,decimal128.c:305,1,084_decimal128.c_305_local_cpp_cwe-120-overflow,
decimal128ToNumber,decimal128.c:303,1,082_decimal128.c_303_local_cpp_cwe-120-overflow,
