Entrypoint,SA_Vuln,Count,Review_Spec_IDs,Notes
UTF8ToUTF8,encoding.c:358,3,016_encoding.c_358_local_cpp_cwe-120-overflow; 017_encoding.c_358_local_cpp_cwe-120-overflow; 022_encoding.c_358_local_cpp_cwe-120-overflow,
htmlDecodeEntities,HTMLparser.c:2185,2,026_HTMLparser.c_2185_local_cpp_cwe-120-overflow; 028_HTMLparser.c_2185_local_cpp_cwe-120-overflow,
htmlDecodeEntities,HTMLparser.c:2284,3,023_HTMLparser.c_2284_local_cpp_cwe-120-overflow; 027_HTMLparser.c_2284_local_cpp_cwe-120-overflow; 030_HTMLparser.c_2284_local_cpp_cwe-120-overflow,
if,c14n.c:299,3,010_c14n.c_299_local_cpp_cwe-120-overflow; 011_c14n.c_299_local_cpp_cwe-120-overflow; 013_c14n.c_299_local_cpp_cwe-120-overflow,Check Planner (Hallucination)
if,c14n.c:303,3,011_c14n.c_303_local_cpp_cwe-120-overflow; 012_c14n.c_303_local_cpp_cwe-120-overflow; 014_c14n.c_303_local_cpp_cwe-120-overflow,Check Planner (Hallucination)
if,c14n.c:328,3,009_c14n.c_328_local_cpp_cwe-120-overflow; 010_c14n.c_328_local_cpp_cwe-120-overflow; 012_c14n.c_328_local_cpp_cwe-120-overflow,Check Planner (Hallucination)
if,c14n.c:327,3,008_c14n.c_327_local_cpp_cwe-120-overflow; 009_c14n.c_327_local_cpp_cwe-120-overflow; 011_c14n.c_327_local_cpp_cwe-120-overflow,Check Planner (Hallucination)
xmlBufAdd,buf.c:798,1,003_buf.c_798_local_cpp_cwe-120-overflow,
xmlBufResize,buf.c:699,1,004_buf.c_699_local_cpp_cwe-120-overflow,
xmlBufResize,buf.c:728,1,005_buf.c_728_local_cpp_cwe-120-overflow,
xmlBufShrink,buf.c:350,1,006_buf.c_350_local_cpp_cwe-120-overflow,
xmlBufShrink,buf.c:357,1,007_buf.c_357_local_cpp_cwe-120-overflow,
xmlDelEncodingAlias,encoding.c:1128,3,014_encoding.c_1128_local_cpp_cwe-120-overflow; _013_encoding.c_1128_local_cpp_cwe-120-overflow; _018_encoding.c_1128_local_cpp_cwe-120-overflow,
xmlDictGrow,dict.c:588,3,010_dict.c_588_local_cpp_cwe-120-overflow; 025_dict.c_588_local_cpp_cwe-120-overflow; 026_dict.c_588_local_cpp_cwe-120-overflow,
xmlDictLookup,dict.c:541,2,172_dict.c_541_local_cpp_cwe-125-oob-read; _172_dict.c_541_local_cpp_cwe-125-oob-read,
xmlDictLookup,dict.c:172,3,017_dict.c_172_local_cpp_cwe-120-overflow; 029_dict.c_172_local_cpp_cwe-120-overflow; 031_dict.c_172_local_cpp_cwe-120-overflow,
xmlDictLookup,dict.c:760,3,008_dict.c_760_local_cpp_cwe-120-overflow; 023_dict.c_760_local_cpp_cwe-120-overflow; 024_dict.c_760_local_cpp_cwe-120-overflow,
xmlDictLookup,dict.c:766,3,009_dict.c_766_local_cpp_cwe-120-overflow; 024_dict.c_766_local_cpp_cwe-120-overflow; 025_dict.c_766_local_cpp_cwe-120-overflow,
xmlDictQLookup,dict.c:232,3,015_dict.c_232_local_cpp_cwe-120-overflow; 027_dict.c_232_local_cpp_cwe-120-overflow; 029_dict.c_232_local_cpp_cwe-120-overflow,
xmlDictQLookup,dict.c:235,3,016_dict.c_235_local_cpp_cwe-120-overflow; 028_dict.c_235_local_cpp_cwe-120-overflow; 030_dict.c_235_local_cpp_cwe-120-overflow,
xmlHashAddEntry,hash.c:490,3,017_hash.c_490_local_cpp_cwe-120-overflow; 018_hash.c_490_local_cpp_cwe-120-overflow; 024_hash.c_490_local_cpp_cwe-120-overflow,
xmlHashAddEntry2,hash.c:498,2,019_hash.c_498_local_cpp_cwe-120-overflow; 025_hash.c_498_local_cpp_cwe-120-overflow,
xmlHashAddEntry3,hash.c:510,3,019_hash.c_510_local_cpp_cwe-120-overflow; 020_hash.c_510_local_cpp_cwe-120-overflow; 027_hash.c_510_local_cpp_cwe-120-overflow,
xmlHashAddEntry3,hash.c:577,2,021_hash.c_577_local_cpp_cwe-120-overflow; 022_hash.c_577_local_cpp_cwe-120-overflow,
xmlHashAddEntry3,hash.c:498,1,018_hash.c_498_local_cpp_cwe-120-overflow,
xmlHashGrow,hash.c:365,3,022_hash.c_365_local_cpp_cwe-120-overflow; 023_hash.c_365_local_cpp_cwe-120-overflow; 030_hash.c_365_local_cpp_cwe-120-overflow,
xmlHashRemoveEntry3,hash.c:571,3,020_hash.c_571_local_cpp_cwe-120-overflow; 021_hash.c_571_local_cpp_cwe-120-overflow; 028_hash.c_571_local_cpp_cwe-120-overflow,
xmlHashRemoveEntry3,hash.c:1140,4,015_hash.c_1140_local_cpp_cwe-120-overflow; 016_hash.c_1140_local_cpp_cwe-120-overflow; 021_hash.c_1140_local_cpp_cwe-120-overflow; _015_hash.c_1140_local_cpp_cwe-120-overflow,
xmlHashRemoveEntry3,hash.c:1134,3,014_hash.c_1134_local_cpp_cwe-120-overflow; 015_hash.c_1134_local_cpp_cwe-120-overflow; 020_hash.c_1134_local_cpp_cwe-120-overflow,
xmlHashRemoveEntry3,hash.c:577,1,029_hash.c_577_local_cpp_cwe-120-overflow,
xmlLoadFileContent,catalog.c:998,3,013_catalog.c_998_local_cpp_cwe-120-overflow; 019_catalog.c_998_local_cpp_cwe-120-overflow; 026_catalog.c_998_local_cpp_cwe-120-overflow,
xmlMemStrdupLoc,xmlmemory.c:484,1,000_xmlmemory.c_484_cpp_unbounded-write,
xmlParserPrintFileContextInternal,error.c:219,2,008_error.c_219_local_cpp_cwe-120-overflow; 012_error.c_219_local_cpp_cwe-120-overflow,
xmlSAX2AttributeNs,SAX2.c:1779,1,002_SAX2.c_1779_local_cpp_cwe-120-overflow,
xmlSAX2Characters,SAX2.c:2479,1,001_SAX2.c_2479_local_cpp_cwe-120-overflow,
