Spec_ID,File,Line,Inferred_Entrypoint,Status,CWE,Time,Tokens
000_SAX2.c_2564_local_cpp_cwe-120-overflow,SAX2.c,2564,xmlSAX2Text,HARNESS_ERROR,120,3.5s,0
001_SAX2.c_2579_local_cpp_cwe-120-overflow,SAX2.c,2579,xmlSAX2Characters,CONFIRMED,120,3.8s,0
002_HTMLtree.c_243_local_cpp_cwe-120-overflow,HTMLtree.c,243,htmlSetMetaEncoding,SYSTEM_ERROR,120,0.0s,0
003_HTMLtree.c_245_local_cpp_cwe-120-overflow,HTMLtree.c,245,htmlSetMetaEncoding,CONFIRMED,120,5.1s,0
004_HTMLtree.c_247_local_cpp_cwe-120-overflow,HTMLtree.c,247,htmlSetMetaEncoding,CONFIRMED,120,5.8s,0
005_SAX2.c_1813_local_cpp_cwe-120-overflow,SAX2.c,1813,xmlSAX2TextNode,SYSTEM_ERROR,120,0.0s,0
006_c14n.c_289_local_cpp_cwe-120-overflow,c14n.c,289,if,SYSTEM_ERROR,120,0.0s,0
007_HTMLparser.c_3947_local_cpp_cwe-120-overflow,HTMLparser.c,3947,htmlParseStartTag,REACHED_ONLY,120,61.5s,0
008_c14n.c_293_local_cpp_cwe-120-overflow,c14n.c,293,if,SYSTEM_ERROR,120,0.0s,0
009_encoding.c_2403_local_cpp_cwe-120-overflow,encoding.c,2403,xmlUTF8ToIsolat1,HARNESS_ERROR,120,3.5s,0
010_error.c_373_local_cpp_cwe-120-overflow,error.c,373,xmlParserPrintFileContextInternal,HARNESS_ERROR,120,3.9s,0
011_hash.c_1280_local_cpp_cwe-120-overflow,hash.c,1280,xmlHashRemoveEntry3,REACHED_ONLY,120,3.5s,0
012_hash.c_1286_local_cpp_cwe-120-overflow,hash.c,1286,xmlHashRemoveEntry3,REACHED_ONLY,120,3.6s,0
013_HTMLparser.c_2808_local_cpp_cwe-120-overflow,HTMLparser.c,2808,htmlParseData,SYSTEM_ERROR,120,0.0s,0
014_HTMLparser.c_2814_local_cpp_cwe-120-overflow,HTMLparser.c,2814,htmlParseAttValue,SYSTEM_ERROR,120,0.0s,0
015_HTMLparser.c_2839_local_cpp_cwe-120-overflow,HTMLparser.c,2839,htmlParseAttValue,SYSTEM_ERROR,120,0.0s,0
016_hash.c_517_local_cpp_cwe-120-overflow,hash.c,517,xmlHashAddEntry,REACHED_ONLY,120,3.6s,0
017_hash.c_525_local_cpp_cwe-120-overflow,hash.c,525,xmlHashAddEntry3,REACHED_ONLY,120,3.7s,0
018_hash.c_537_local_cpp_cwe-120-overflow,hash.c,537,xmlHashAddEntry3,REACHED_ONLY,120,3.8s,0
019_hash.c_561_local_cpp_cwe-120-overflow,hash.c,561,xmlHashRemoveEntry3,REACHED_ONLY,120,3.5s,0
020_hash.c_567_local_cpp_cwe-120-overflow,hash.c,567,xmlHashUpdateInternal,REACHED_ONLY,120,3.6s,0
021_HTMLparser.c_2370_local_cpp_cwe-120-overflow,HTMLparser.c,2370,htmlParseHTMLName,SYSTEM_ERROR,120,0.0s,0
022_hash.c_356_local_cpp_cwe-120-overflow,hash.c,356,xmlHashGrow,SYSTEM_ERROR,120,0.0s,0
023_HTMLparser.c_2124_local_cpp_cwe-120-overflow,HTMLparser.c,2124,htmlEncodeEntities,SYSTEM_ERROR,120,0.0s,0
024_HTMLparser.c_2021_local_cpp_cwe-120-overflow,HTMLparser.c,2021,htmlEncodeEntities,SYSTEM_ERROR,120,0.0s,0
025_encoding.c_600_local_cpp_cwe-120-overflow,encoding.c,600,xmlDelEncodingAlias,REACHED_ONLY,120,3.7s,0
026_shell.c_1051_local_cpp_cwe-120-overflow,shell.c,1051,xmllintShellReadline,SYSTEM_ERROR,120,0.0s,0
027_shell.c_1057_local_cpp_cwe-120-overflow,shell.c,1057,xmllintShellReadline,HARNESS_ERROR,120,6.7s,0
028_relaxng.c_9049_local_cpp_cwe-120-overflow,relaxng.c,9049,xmlRelaxNGValidateInterleave,SYSTEM_ERROR,120,0.0s,0
029_relaxng.c_9055_local_cpp_cwe-120-overflow,relaxng.c,9055,xmlRelaxNGValidateInterleave,HARNESS_ERROR,120,3.5s,0
030_testdict.c_506_local_cpp_cwe-120-overflow,testdict.c,506,pool_new,HARNESS_ERROR,120,3.9s,0
031_testdict.c_404_local_cpp_cwe-120-overflow,testdict.c,404,testall_dict,HARNESS_ERROR,120,3.9s,0
032_testdict.c_406_local_cpp_cwe-120-overflow,testdict.c,406,testall_dict,HARNESS_ERROR,120,3.7s,0
033_testdict.c_408_local_cpp_cwe-120-overflow,testdict.c,408,testall_dict,HARNESS_ERROR,120,3.8s,0
034_testdict.c_410_local_cpp_cwe-120-overflow,testdict.c,410,testall_dict,SYSTEM_ERROR,120,0.0s,0
035_catalog.c_966_local_cpp_cwe-120-overflow,catalog.c,966,xmlLoadFileContent,HARNESS_ERROR,120,3.5s,0
036_testlimits.c_317_local_cpp_cwe-120-overflow,testlimits.c,317,hugeRead,HARNESS_ERROR,120,3.9s,0
037_testlimits.c_321_local_cpp_cwe-120-overflow,testlimits.c,321,crazyRead,SYSTEM_ERROR,120,0.0s,0
038_testlimits.c_329_local_cpp_cwe-120-overflow,testlimits.c,329,hugeRead,HARNESS_ERROR,120,4.4s,0
039_testlimits.c_333_local_cpp_cwe-120-overflow,testlimits.c,333,hugeRead,HARNESS_ERROR,120,3.8s,0
040_testlimits.c_339_local_cpp_cwe-120-overflow,testlimits.c,339,crazyRead,HARNESS_ERROR,120,3.8s,0
041_testlimits.c_178_local_cpp_cwe-120-overflow,testlimits.c,178,hugeRead,HARNESS_ERROR,120,4.0s,0
042_testlimits.c_183_local_cpp_cwe-120-overflow,testlimits.c,183,hugeRead,HARNESS_ERROR,120,3.6s,0
043_testlimits.c_191_local_cpp_cwe-120-overflow,testlimits.c,191,hugeRead,SYSTEM_ERROR,120,0.0s,0
044_testlimits.c_195_local_cpp_cwe-120-overflow,testlimits.c,195,hugeRead,SYSTEM_ERROR,120,0.0s,0
045_testlimits.c_201_local_cpp_cwe-120-overflow,testlimits.c,201,hugeRead,HARNESS_ERROR,120,3.6s,0
046_uri.c_2659_local_cpp_cwe-120-overflow,uri.c,2659,xmlBuildRelativeURISafe,HARNESS_ERROR,120,84.5s,0
047_uri.c_2662_local_cpp_cwe-120-overflow,uri.c,2662,xmlBuildRelativeURISafe,HARNESS_ERROR,120,728.3s,0
048_parser.c_9108_local_cpp_cwe-120-overflow,parser.c,9108,xmlParseStartTag2,SYSTEM_ERROR,120,0.0s,0
049_uri.c_2433_local_cpp_cwe-120-overflow,uri.c,2433,xmlParseUriOrPath,HARNESS_ERROR,120,60.5s,0
050_uri.c_2435_local_cpp_cwe-120-overflow,uri.c,2435,xmlParseUriOrPath,HARNESS_ERROR,120,61.3s,0
054_dict.c_784_local_cpp_cwe-120-overflow,dict.c,784,xmlDictLookupInternal,REACHED_ONLY,120,3.9s,0
055_dict.c_790_local_cpp_cwe-120-overflow,dict.c,790,xmlDictLookup,REACHED_ONLY,120,3.8s,0
