ruleIds,query,suites,wall_seconds,sarif,returncode
cpp/offset-use-before-range-check,/home/shafi/.codeql/packages/codeql/cpp-queries/1.5.7/Best Practices/Likely Errors/OffsetUseBeforeRangeCheck.ql,rules/stailor-queries/suites/stailor.qls,4.301066,/home/shafi/STAILOR/sa_outputs/binutils_19910_vul/timing/0001_OffsetUseBeforeRangeCheck.sarif,0
cpp/static-buffer-overflow,/home/shafi/.codeql/packages/codeql/cpp-queries/1.5.7/Critical/OverflowStatic.ql,rules/stailor-queries/suites/stailor.qls,14.053695,/home/shafi/STAILOR/sa_outputs/binutils_19910_vul/timing/0002_OverflowStatic.sarif,0
cpp/double-free,/home/shafi/.codeql/packages/codeql/cpp-queries/1.5.7/Critical/DoubleFree.ql,rules/stailor-queries/suites/stailor.qls,6.069899,/home/shafi/STAILOR/sa_outputs/binutils_19910_vul/timing/0003_DoubleFree.sarif,0
cpp/use-after-free,/home/shafi/.codeql/packages/codeql/cpp-queries/1.5.7/Critical/UseAfterFree.ql,rules/stailor-queries/suites/stailor.qls,6.247920,/home/shafi/STAILOR/sa_outputs/binutils_19910_vul/timing/0004_UseAfterFree.sarif,0
cpp/overflow-buffer,/home/shafi/.codeql/packages/codeql/cpp-queries/1.5.7/Security/CWE/CWE-119/OverflowBuffer.ql,rules/stailor-queries/suites/stailor.qls,4.738985,/home/shafi/STAILOR/sa_outputs/binutils_19910_vul/timing/0005_OverflowBuffer.sarif,0
cpp/unbounded-write,/home/shafi/.codeql/packages/codeql/cpp-queries/1.5.7/Security/CWE/CWE-120/UnboundedWrite.ql,rules/stailor-queries/suites/stailor.qls,8.079227,/home/shafi/STAILOR/sa_outputs/binutils_19910_vul/timing/0006_UnboundedWrite.sarif,0
cpp/invalid-pointer-deref,/home/shafi/.codeql/packages/codeql/cpp-queries/1.5.7/Security/CWE/CWE-193/InvalidPointerDeref.ql,rules/stailor-queries/suites/stailor.qls,11.467222,/home/shafi/STAILOR/sa_outputs/binutils_19910_vul/timing/0007_InvalidPointerDeref.sarif,0
cpp/comparison-with-wider-type,/home/shafi/.codeql/packages/codeql/cpp-queries/1.5.7/Security/CWE/CWE-190/ComparisonWithWiderType.ql,rules/stailor-queries/suites/stailor.qls,4.335415,/home/shafi/STAILOR/sa_outputs/binutils_19910_vul/timing/0008_ComparisonWithWiderType.sarif,0
cpp/signed-overflow-check,/home/shafi/.codeql/packages/codeql/cpp-queries/1.5.7/Likely Bugs/Arithmetic/SignedOverflowCheck.ql,rules/stailor-queries/suites/stailor.qls,4.186105,/home/shafi/STAILOR/sa_outputs/binutils_19910_vul/timing/0009_SignedOverflowCheck.sarif,0
cpp/return-stack-allocated-memory,/home/shafi/.codeql/packages/codeql/cpp-queries/1.5.7/Likely Bugs/Memory Management/ReturnStackAllocatedMemory.ql,rules/stailor-queries/suites/stailor.qls,4.669651,/home/shafi/STAILOR/sa_outputs/binutils_19910_vul/timing/0010_ReturnStackAllocatedMemory.sarif,0
local/cpp/cwe-120-overflow,/home/shafi/STAILOR/rules/stailor-queries/queries/CWE-120_BufferOverflow.ql,rules/stailor-queries/suites/stailor.qls,4.012228,/home/shafi/STAILOR/sa_outputs/binutils_19910_vul/timing/0011_CWE-120_BufferOverflow.sarif,0
local/cpp/cwe-125-oob-read,/home/shafi/STAILOR/rules/stailor-queries/queries/CWE-125_OutOfBoundsRead.ql,rules/stailor-queries/suites/stailor.qls,4.068202,/home/shafi/STAILOR/sa_outputs/binutils_19910_vul/timing/0012_CWE-125_OutOfBoundsRead.sarif,0
local/cpp/cwe-787-oob-write,/home/shafi/STAILOR/rules/stailor-queries/queries/CWE-787_OutOfBoundsWrite.ql,rules/stailor-queries/suites/stailor.qls,4.183661,/home/shafi/STAILOR/sa_outputs/binutils_19910_vul/timing/0013_CWE-787_OutOfBoundsWrite.sarif,0
shafi/cpp/pattern/free-then-deref/intra,/home/shafi/STAILOR/rules/stailor-queries/queries/CWE-416_UseAfterFree_FreeThenDeref.ql,rules/stailor-queries/suites/stailor.qls,9.640045,/home/shafi/STAILOR/sa_outputs/binutils_19910_vul/timing/0014_CWE-416_UseAfterFree_FreeThenDeref.sarif,0
shafi/cpp/pattern/free-then-use/intra,/home/shafi/STAILOR/rules/stailor-queries/queries/CWE-416_UseAfterFree_FreeThenUse.ql,rules/stailor-queries/suites/stailor.qls,9.888160,/home/shafi/STAILOR/sa_outputs/binutils_19910_vul/timing/0015_CWE-416_UseAfterFree_FreeThenUse.sarif,0
shafi/cpp/libxml2/CWE-416/DirectFreeArgUseFast,/home/shafi/STAILOR/rules/stailor-queries/queries/CWE-416_UseAfterFree_FreeThenCallArg.ql,rules/stailor-queries/suites/stailor.qls,4.433658,/home/shafi/STAILOR/sa_outputs/binutils_19910_vul/timing/0016_CWE-416_UseAfterFree_FreeThenCallArg.sarif,0
shafi/cpp/uaf/lookup-remove-use/intra,/home/shafi/STAILOR/rules/stailor-queries/queries/CWE-416_UseAfterFree_LookupRemoveUse.ql,rules/stailor-queries/suites/stailor.qls,4.873388,/home/shafi/STAILOR/sa_outputs/binutils_19910_vul/timing/0017_CWE-416_UseAfterFree_LookupRemoveUse.sarif,0
shafi/cpp/uaf/free-then-return/intra.min,/home/shafi/STAILOR/rules/stailor-queries/queries/CWE-416_UseAfterFree_FreeThenReturn.ql,rules/stailor-queries/suites/stailor.qls,4.502983,/home/shafi/STAILOR/sa_outputs/binutils_19910_vul/timing/0018_CWE-416_UseAfterFree_FreeThenReturn.sarif,0
