ruleId,ruleName,severity,precision,cwe,file,startLine,startColumn,endLine,endColumn,message,helpUri,contextStart,contextEnd,snippet
cpp/offset-use-before-range-check,cpp/offset-use-before-range-check,8.2,medium,"CWE-120,CWE-125",/home/shafi/STAILOR/dataset/19910/binutils_19910_vul/readline/readline/bind.c,2680,20,2680,31,This use of offset 'j' should follow the [range check](1).,,2675,2685,"	    {
	      register int j;

	      fprintf (rl_outstream, ""%s can be found on "", name);

	      for (j = 0; invokers[j] && j < 5; j++)
		{
		  fprintf (rl_outstream, ""\""%s\""%s"", invokers[j],
			   invokers[j + 1] ? "", "" : "".\n"");
		}
"
cpp/offset-use-before-range-check,cpp/offset-use-before-range-check,8.2,medium,"CWE-120,CWE-125",/home/shafi/STAILOR/dataset/19910/binutils_19910_vul/readline/readline/vi_mode.c,1884,35,1884,59,This use of offset 'rl_point' should follow the [range check](1).,,1879,1889,"	      if (pre == rl_point)
		break;
	    }
	}
      else
	while ((brack = rl_vi_bracktype (rl_line_buffer[rl_point])) == 0 &&
		rl_point < rl_end - 1)
	  rl_forward_char (1, key);

      if (brack <= 0)
	{"
cpp/unbounded-write,cpp/unbounded-write,9.3,medium,"CWE-120,CWE-787,CWE-805",/home/shafi/STAILOR/dataset/19910/binutils_19910_vul/libiberty/make-temp-file.c,144,7,144,13,"This 'call to strcpy' with input from [an environment variable](1) may overflow the destination.
This 'call to strcpy' with input from [an environment variable](2) may overflow the destination.
This 'call to strcpy' with input from [an environment variable](3) may overflow the destination.",,139,149,"	base = ""."";
      /* Append DIR_SEPARATOR to the directory we've chosen
	 and return it.  */
      len = strlen (base);
      tmpdir = XNEWVEC (char, len + 2);
      strcpy (tmpdir, base);
      tmpdir[len] = DIR_SEPARATOR;
      tmpdir[len+1] = '\0';
      memoized_tmpdir = tmpdir;
#else /* defined(_WIN32) && !defined(__CYGWIN__) */
      DWORD len;"
cpp/unbounded-write,cpp/unbounded-write,9.3,medium,"CWE-120,CWE-787,CWE-805",/home/shafi/STAILOR/dataset/19910/binutils_19910_vul/libiberty/make-relative-prefix.c,381,5,381,11,This 'call to strcat' with input from [an environment variable](1) may overflow the destination.,,376,386,"    goto bailout;

  /* Build up the pathnames in argv[0].  */
  *ret = '\0';
  for (i = 0; i < prog_num; i++)
    strcat (ret, prog_dirs[i]);

  /* Now build up the ..'s.  */
  ptr = ret + strlen(ret);
  for (i = common; i < bin_num; i++)
    {"
cpp/unbounded-write,cpp/unbounded-write,9.3,medium,"CWE-120,CWE-787,CWE-805",/home/shafi/STAILOR/dataset/19910/binutils_19910_vul/readline/readline/histsearch.c,238,3,238,9,"This 'call to strcpy' with input from [buffer read by read](1) may overflow the destination.
This 'call to strcpy' with input from [buffer read by read](2) may overflow the destination.
This 'call to strcpy' with input from [buffer read by read](3) may overflow the destination.",,233,243,"
  /* Attempt to reduce the number of searches by tacking a `*' onto the end
     of a pattern that doesn't have one.  Assume a pattern that ends in a
     backslash contains an even number of trailing backslashes; we check
     above */
  strcpy (pat + start, string);
  if (pat[len - 1] != '*')
    {
      pat[len] = '*';		/* XXX */
      pat[len+1] = '\0';
    }"
cpp/unbounded-write,cpp/unbounded-write,9.3,medium,"CWE-120,CWE-787,CWE-805",/home/shafi/STAILOR/dataset/19910/binutils_19910_vul/readline/readline/history.c,428,7,428,13,This 'call to strcpy' with input from [buffer read by read](1) may overflow the destination.,,423,433,"  newline = realloc (hent->line, newlen);
  if (newline)
    {
      hent->line = newline;
      hent->line[curlen++] = '\n';
      strcpy (hent->line + curlen, line);
    }
}

/* Replace the DATA in the specified history entries, replacing OLD with
   NEW.  WHICH says which one(s) to replace:  WHICH == -1 means to replace"
cpp/unbounded-write,cpp/unbounded-write,9.3,medium,"CWE-120,CWE-787,CWE-805",/home/shafi/STAILOR/dataset/19910/binutils_19910_vul/readline/readline/history.c,391,16,391,33,"This 'call to strcpy' with input from [buffer read by read](1) may overflow the destination.
This 'call to strcpy' with input from [buffer read by read](2) may overflow the destination.
This 'call to strcpy' with input from [buffer read by read](3) may overflow the destination.",,386,396,"    return ((HIST_ENTRY *)NULL);

  temp = (HIST_ENTRY *)xmalloc (sizeof (HIST_ENTRY));
  old_value = the_history[which];

  temp->line = savestring (line);
  temp->data = data;
  temp->timestamp = savestring (old_value->timestamp);
  the_history[which] = temp;

  return (old_value);"
cpp/unbounded-write,cpp/unbounded-write,9.3,medium,"CWE-120,CWE-787,CWE-805",/home/shafi/STAILOR/dataset/19910/binutils_19910_vul/readline/readline/histexpand.c,1425,4,1425,10,This 'call to strcpy' with input from [buffer read by read](1) may overflow the destination.,,1420,1430,"      result = (char *)xmalloc (size + 1);
      result[0] = '\0';

      for (i = first, offset = 0; i < last; i++)
	{
	  strcpy (result + offset, list[i]);
	  offset += strlen (list[i]);
	  if (i + 1 < last)
	    {
      	      result[offset++] = ' ';
	      result[offset] = 0;"
cpp/unbounded-write,cpp/unbounded-write,9.3,medium,"CWE-120,CWE-787,CWE-805",/home/shafi/STAILOR/dataset/19910/binutils_19910_vul/readline/readline/history.c,339,19,339,38,This 'call to strcpy' with input from [buffer read by read](1) may overflow the destination.,,334,344,"
  if (string == 0 || history_length < 1)
    return;
  hs = the_history[history_length - 1];
  FREE (hs->timestamp);
  hs->timestamp = savestring (string);
}

/* Free HIST and return the data so the calling application can free it
   if necessary and desired. */
histdata_t"
cpp/unbounded-write,cpp/unbounded-write,9.3,medium,"CWE-120,CWE-787,CWE-805",/home/shafi/STAILOR/dataset/19910/binutils_19910_vul/readline/readline/histexpand.c,1303,30,1303,55,This 'call to strcpy' with input from [buffer read by read](1) may overflow the destination.,,1298,1308,"
  /* `%' is the word last searched for. */
  if (spec[i] == '%')
    {
      *caller_index = i + 1;
      return (search_match ? savestring (search_match) : savestring (""""));
    }

  /* `*' matches all of the arguments, but not the command. */
  if (spec[i] == '*')
    {"
