# Time log for MODE=sa_llm, PROJECT=libxml2_62911_vul
# Columns: SPEC_ID  duration_seconds
006_HTMLparser.c_5103_local.oob.memfunc.length-misuse.maxcover.v5  7
002_HTMLtree.c_416_local.oob.memfunc.length-misuse.maxcover.v5  9
006_debugXML.c_2636_local.oob.memfunc.length-misuse.maxcover.v5  10
002_SAX2.c_1887_local.oob.memfunc.length-misuse.maxcover.v5  13
003_SAX2.c_1767_local.oob.memfunc.length-misuse.maxcover.v5  13
001_SAX2.c_2142_local.oob.memfunc.length-misuse.maxcover.v5  16
000_SAX2.c_2479_local.oob.memfunc.length-misuse.maxcover.v5  24
007_HTMLparser.c_4956_local.oob.memfunc.length-misuse.maxcover.v5  7
008_HTMLparser.c_4971_local.oob.memfunc.length-misuse.maxcover.v5  11
011_entities.c_963_local.oob.memfunc.length-misuse.maxcover.v5  11
015_encoding.c_1743_local.oob.memfunc.length-misuse.maxcover.v5  13
013_error.c_916_local.oob.memfunc.length-misuse.maxcover.v5  19
016_entities.c_163_local.oob.memfunc.length-misuse.maxcover.v5  11
019_encoding.c_1128_local.oob.memfunc.length-misuse.maxcover.v5  8
023_catalog.c_998_local.oob.memfunc.length-misuse.maxcover.v5  12
028_c14n.c_288_local.oob.memfunc.length-misuse.maxcover.v5  16
020_error.c_219_local.oob.memfunc.length-misuse.maxcover.v5  74
031_parserInternals.c_2149_local.oob.memfunc.length-misuse.maxcover.v5  7
033_hash.c_1140_local.oob.memfunc.length-misuse.maxcover.v5  10
032_hash.c_1134_local.oob.memfunc.length-misuse.maxcover.v5  10
034_encoding.c_358_local.oob.memfunc.length-misuse.maxcover.v5  8
029_c14n.c_260_local.oob.memfunc.length-misuse.maxcover.v5  22
033_parserInternals.c_1849_local.oob.memfunc.length-misuse.maxcover.v5  16
034_parserInternals.c_1854_local.oob.memfunc.length-misuse.maxcover.v5  17
039_list.c_197_local.oob.memfunc.length-misuse.maxcover.v5  9
041_parserInternals.c_1584_local.oob.memfunc.length-misuse.maxcover.v5  5
036_parserInternals.c_1857_local.oob.memfunc.length-misuse.maxcover.v5  9
039_hash.c_490_local.oob.memfunc.length-misuse.maxcover.v5  11
040_pattern.c_1437_local.oob.memfunc.length-misuse.maxcover.v5  10
038_pattern.c_1699_local.oob.memfunc.length-misuse.maxcover.v5  13
035_parserInternals.c_1856_local.oob.memfunc.length-misuse.maxcover.v5  33
046_hash.c_365_local.oob.memfunc.length-misuse.maxcover.v5  10
045_HTMLparser.c_2445_local.oob.memfunc.length-misuse.maxcover.v5  11
044_buf.c_798_local.oob.memfunc.length-misuse.maxcover.v5  12
042_hash.c_510_local.oob.memfunc.length-misuse.maxcover.v5  14
044_hash.c_571_local.oob.memfunc.length-misuse.maxcover.v5  17
045_hash.c_577_local.oob.memfunc.length-misuse.maxcover.v5  19
048_relaxng.c_10647_local.oob.memfunc.length-misuse.maxcover.v5  12
050_HTMLparser.c_2318_local.oob.memfunc.length-misuse.maxcover.v5  12
053_buf.c_357_local.oob.memfunc.length-misuse.maxcover.v5  9
052_buf.c_350_local.oob.memfunc.length-misuse.maxcover.v5  17
066_globals.c_837_local.oob.memfunc.length-misuse.maxcover.v5  8
064_pattern.c_209_local.oob.memfunc.length-misuse.maxcover.v5  11
069_schematron.c_688_local.oob.memfunc.length-misuse.maxcover.v5  8
071_runtest.c_4593_local.oob.memfunc.length-misuse.maxcover.v5  9
