# Error log for MODE=sa_manual, PROJECT=libxml2_62911_vul
[ERR] 000_SAX2.c_2479_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/000_SAX2.c_2479_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 001_SAX2.c_2142_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/001_SAX2.c_2142_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 002_HTMLtree.c_416_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/002_HTMLtree.c_416_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 002_SAX2.c_1887_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/002_SAX2.c_1887_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 003_SAX2.c_1767_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/003_SAX2.c_1767_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 004_SAX2.c_1779_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/004_SAX2.c_1779_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 006_debugXML.c_2636_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/006_debugXML.c_2636_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 006_HTMLparser.c_5103_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/006_HTMLparser.c_5103_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 007_HTMLparser.c_4956_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/007_HTMLparser.c_4956_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 008_HTMLparser.c_4971_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/008_HTMLparser.c_4971_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 009_HTMLparser.c_4975_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/009_HTMLparser.c_4975_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 011_c14n.c_1802_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/011_c14n.c_1802_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 011_entities.c_963_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/011_entities.c_963_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 012_c14n.c_1443_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/012_c14n.c_1443_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 013_error.c_916_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/013_error.c_916_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
[ERR] 015_encoding.c_1743_local.oob.memfunc.length-misuse.maxcover.v5: run_se_driver.sh failed (driver=drivers/sa_manual/libxml2_62911_vul/015_encoding.c_1743_local.oob.memfunc.length-misuse.maxcover.v5.c, exit_code=1, duration=0s)
