002_HTMLtree.c_416_local.oob.memfunc.length-misuse.maxcover.v5	H2	assertion_bug	0.05
000_SAX2.c_2479_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
002_SAX2.c_1887_local.oob.memfunc.length-misuse.maxcover.v5	H0	ok	0.03
001_SAX2.c_2142_local.oob.memfunc.length-misuse.maxcover.v5	H0	ok	0.07
006_debugXML.c_2636_local.oob.memfunc.length-misuse.maxcover.v5	H0	ok	0.05
004_SAX2.c_1779_local.oob.memfunc.length-misuse.maxcover.v5	H0	ok	0.92
003_SAX2.c_1767_local.oob.memfunc.length-misuse.maxcover.v5	H2	assertion_bug	0.08
009_HTMLparser.c_4975_local.oob.memfunc.length-misuse.maxcover.v5	H2	assertion_bug	0.05
006_HTMLparser.c_5103_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
007_HTMLparser.c_4956_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
012_c14n.c_1443_local.oob.memfunc.length-misuse.maxcover.v5	H2	assertion_bug	0.07
008_HTMLparser.c_4971_local.oob.memfunc.length-misuse.maxcover.v5	H2	assertion_bug	0.07
013_error.c_916_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
015_encoding.c_1743_local.oob.memfunc.length-misuse.maxcover.v5	H2	assertion_bug	108.40
016_c14n.c_828_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
011_c14n.c_1802_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
011_entities.c_963_local.oob.memfunc.length-misuse.maxcover.v5	H2	assertion_bug	0.05
017_encoding.c_1433_local.oob.memfunc.length-misuse.maxcover.v5	H2	assertion_bug	0.04
018_c14n.c_661_local.oob.memfunc.length-misuse.maxcover.v5	H2	assertion_bug	0.05
020_error.c_219_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
022_c14n.c_327_local.oob.memfunc.length-misuse.maxcover.v5	H2	assertion_bug	0.04
016_entities.c_163_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
019_encoding.c_1128_local.oob.memfunc.length-misuse.maxcover.v5	H0	ok	0.14
023_c14n.c_328_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
023_catalog.c_998_local.oob.memfunc.length-misuse.maxcover.v5	H2	assertion_bug	0.11
026_c14n.c_303_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
027_c14n.c_306_local.oob.memfunc.length-misuse.maxcover.v5	H2	assertion_bug	60.54
025_c14n.c_299_local.oob.memfunc.length-misuse.maxcover.v5	H0	ok	0.64
028_c14n.c_288_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
031_parserInternals.c_2149_local.oob.memfunc.length-misuse.maxcover.v5	H2	assertion_bug	0.11
032_catalog.c_414_local.oob.memfunc.length-misuse.maxcover.v5	H0	ok	0.06
032_hash.c_1134_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
029_c14n.c_260_local.oob.memfunc.length-misuse.maxcover.v5	H2	assertion_bug	0.04
033_hash.c_1140_local.oob.memfunc.length-misuse.maxcover.v5	H0	ok	0.03
034_encoding.c_358_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
017_c14n.c_837_local.oob.memfunc.length-misuse.maxcover.v5	H2_REACH	assertion_reach	0.07
033_parserInternals.c_1849_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
035_parserInternals.c_1856_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
036_parserInternals.c_1857_local.oob.memfunc.length-misuse.maxcover.v5	H2	assertion_bug	0.07
034_parserInternals.c_1854_local.oob.memfunc.length-misuse.maxcover.v5	H2_REACH	assertion_reach	0.03
039_list.c_197_local.oob.memfunc.length-misuse.maxcover.v5	H2	assertion_bug	0.06
040_pattern.c_1437_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
039_hash.c_490_local.oob.memfunc.length-misuse.maxcover.v5	H2_REACH	ok	0.03
041_parserInternals.c_1584_local.oob.memfunc.length-misuse.maxcover.v5	H2	assertion_bug	0.05
038_pattern.c_1699_local.oob.memfunc.length-misuse.maxcover.v5	H2	assertion_bug	0.09
044_buf.c_798_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
044_hash.c_571_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
042_hash.c_510_local.oob.memfunc.length-misuse.maxcover.v5	H0	ok	0.15
045_HTMLparser.c_2445_local.oob.memfunc.length-misuse.maxcover.v5	H2	assertion_bug	0.06
046_hash.c_365_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
046_buf.c_699_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
045_hash.c_577_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
048_relaxng.c_10647_local.oob.memfunc.length-misuse.maxcover.v5	H2	assertion_bug	0.04
047_buf.c_728_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
050_HTMLparser.c_2318_local.oob.memfunc.length-misuse.maxcover.v5	H2	assertion_bug	0.05
053_buf.c_357_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
040_hash.c_498_local.oob.memfunc.length-misuse.maxcover.v5	H2_REACH	ok	0.03
052_buf.c_350_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
058_relaxng.c_10553_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
053_HTMLparser.c_2284_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
060_pattern.c_331_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
064_pattern.c_209_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
063_pattern.c_258_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
061_pattern.c_305_local.oob.memfunc.length-misuse.maxcover.v5	H2	assertion_bug	0.07
056_HTMLparser.c_2185_local.oob.memfunc.length-misuse.maxcover.v5	H0	ok	0.11
066_globals.c_837_local.oob.memfunc.length-misuse.maxcover.v5	H2	assertion_bug	0.02
067_relaxng.c_9145_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
065_schematron.c_1720_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
067_globals.c_789_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
068_schematron.c_727_local.oob.memfunc.length-misuse.maxcover.v5	H2	assertion_bug	0.06
066_relaxng.c_9139_local.oob.memfunc.length-misuse.maxcover.v5	H2	assertion_bug	0.06
070_parser.c_11894_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
070_runtest.c_4729_local.oob.memfunc.length-misuse.maxcover.v5	H2	assertion_bug	0.05
071_runtest.c_4593_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
072_schematron.c_590_local.oob.memfunc.length-misuse.maxcover.v5	H2	assertion_bug	0.05
069_schematron.c_688_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
073_schematron.c_538_local.oob.memfunc.length-misuse.maxcover.v5	H2	assertion_bug	0.06
071_schematron.c_646_local.oob.memfunc.length-misuse.maxcover.v5	H0	ok	0.05
072_testdict.c_507_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
077_schematron.c_353_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
075_testdict.c_402_local.oob.memfunc.length-misuse.maxcover.v5	H0	ok	1.38
076_testdict.c_404_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
074_schematron.c_457_local.oob.memfunc.length-misuse.maxcover.v5	H2_REACH	assertion_reach	0.04
079_parser.c_11212_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
077_testdict.c_406_local.oob.memfunc.length-misuse.maxcover.v5	H2	assertion_bug	1.71
080_runtest.c_4299_local.oob.memfunc.length-misuse.maxcover.v5	H0	ok	13.81
082_testlimits.c_1324_local.oob.memfunc.length-misuse.maxcover.v5	H2	assertion_bug	13.89
081_testdict.c_299_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
083_testlimits.c_1334_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
084_testdict.c_140_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
086_testlimits.c_335_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
084_testlimits.c_331_local.oob.memfunc.length-misuse.maxcover.v5	H2	assertion_bug	0.10
079_testdict.c_408_local.oob.memfunc.length-misuse.maxcover.v5	H0	ok	60.16
089_testlimits.c_347_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
085_runtest.c_3932_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
088_testlimits.c_343_local.oob.memfunc.length-misuse.maxcover.v5	H2	assertion_bug	254.30
090_testlimits.c_353_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
090_runtest.c_3963_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
087_runtest.c_3936_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
092_runtest.c_3777_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
094_testlimits.c_184_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
092_testlimits.c_262_local.oob.memfunc.length-misuse.maxcover.v5	H2	assertion_bug	0.06
095_testlimits.c_189_local.oob.memfunc.length-misuse.maxcover.v5	H2	assertion_bug	0.06
095_runtest.c_3692_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
096_runtest.c_3531_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
096_testlimits.c_197_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
091_testlimits.c_278_local.oob.memfunc.length-misuse.maxcover.v5	H2	assertion_bug	600.11
097_runtest.c_3539_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
097_testlimits.c_201_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
098_testlimits.c_207_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
099_testlimits.c_115_local.oob.memfunc.length-misuse.maxcover.v5	H2	assertion_bug	0.06
098_testrecurse.c_692_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
100_runtest.c_3139_local.oob.memfunc.length-misuse.maxcover.v5	H2	assertion_bug	0.13
099_runtest.c_3328_local.oob.memfunc.length-misuse.maxcover.v5	H2	assertion_bug	0.10
107_testThreads.c_106_local.oob.memfunc.length-misuse.maxcover.v5	H2	assertion_bug	0.08
100_testlimits.c_99_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
109_testrecurse.c_307_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
111_relaxng.c_6654_local.oob.memfunc.length-misuse.maxcover.v5	H2	assertion_bug	0.10
109_parser.c_9351_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
112_relaxng.c_6623_local.oob.memfunc.length-misuse.maxcover.v5	H2	assertion_bug	0.07
110_relaxng.c_6691_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
108_runtest.c_2832_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
121_nanohttp.c_1222_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
114_nanohttp.c_1305_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
111_testrecurse.c_316_local.oob.memfunc.length-misuse.maxcover.v5	H2_REACH	assertion_reach	0.07
124_nanohttp.c_1108_local.oob.memfunc.length-misuse.maxcover.v5	H2	assertion_bug	0.05
124_runtest.c_1760_local.oob.memfunc.length-misuse.maxcover.v5	H2	assertion_bug	0.07
122_nanohttp.c_1000_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
125_runtest.c_1789_local.oob.memfunc.length-misuse.maxcover.v5	H2	assertion_bug	0.06
126_runtest.c_1792_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
115_runtest.c_2112_local.oob.memfunc.length-misuse.maxcover.v5	H2	assertion_bug	0.06
127_uri.c_2347_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
127_libxml.c_3334_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
126_nanohttp.c_671_local.oob.memfunc.length-misuse.maxcover.v5	H2	assertion_bug	0.08
128_uri.c_2350_local.oob.memfunc.length-misuse.maxcover.v5	E	none	0.00
